Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2017,Bexar,TX,Passenger,1,3,4,1003,1007,0.40
March 31 2017,NULL,WA,Truck,0,0,0,1,1,0.00
February 28 2017,Clark,WA,Truck,0,0,0,79659,79659,0.00
February 28 2017,Russell,AL,Passenger,1,0,1,54,55,1.82
February 28 2017,Sumter,FL,Passenger,0,1,1,9,10,10.00
March 31 2017,NULL,CA,Passenger,1,0,1,446,447,0.22
February 28 2017,Cobb,GA,Passenger,0,1,1,73,74,1.35
March 31 2017,Allegheny,PA,Passenger,1,0,1,85,86,1.16
February 28 2017,Travis,TX,Passenger,0,1,1,188,189,0.53
February 28 2017,Skagit,WA,Passenger,114,101,215,88668,88883,0.24
March 31 2017,Benton,WA,Truck,0,0,0,41113,41113,0.00
February 28 2017,Skagit,WA,Truck,1,0,1,32328,32329,0.00
February 28 2017,Skamania,WA,Truck,0,0,0,4065,4065,0.00
February 28 2017,Cowlitz,WA,Passenger,50,54,104,70165,70269,0.15
February 28 2017,Ventura,CA,Passenger,0,2,2,377,379,0.53
March 31 2017,Chelan,WA,Passenger,55,31,86,52826,52912,0.16
February 28 2017,Snohomish,WA,Truck,1,0,1,125987,125988,0.00
February 28 2017,Wahkiakum,WA,Passenger,0,1,1,2898,2899,0.03
March 31 2017,Clallam,WA,Passenger,80,70,150,48966,49116,0.31
February 28 2017,Stevens,WA,Truck,0,0,0,19101,19101,0.00
February 28 2017,Tarrant,TX,Passenger,0,2,2,294,296,0.68
March 31 2017,Cobb,GA,Passenger,0,1,1,72,73,1.37
February 28 2017,Dekalb,GA,Passenger,1,0,1,81,82,1.22
March 31 2017,Charles,MD,Passenger,0,1,1,91,92,1.09
March 31 2017,Clark,WA,Truck,0,0,0,79806,79806,0.00
February 28 2017,Yakima,WA,Truck,0,0,0,59588,59588,0.00
February 28 2017,Howard,MD,Passenger,0,1,1,96,97,1.03
February 28 2017,Virginia Beach City,VA,Passenger,1,1,2,637,639,0.31
February 28 2017,Douglas,WA,Passenger,30,19,49,27077,27126,0.18
March 31 2017,Cowlitz,WA,Passenger,52,58,110,70544,70654,0.16
